,Max,Depth Test,size,Accuracy,Dataset Time,Training Time,Total Time
0,0,112,0.3,0.91002,43.04583456367254,2972.4553630650043,3018.0879009328783
1,1,153,0.3,0.9392393333333332,37.0600474216044,3618.221220532432,3657.6687646023934
2,2,112,0.3,0.9098700000000001,37.22563899308443,2505.9542491231114,2545.502649782225
3,3,106,0.3,0.8961066666666667,37.54564869683236,2469.169205776416,2509.135234518908
4,4,106,0.3,0.8990913333333334,37.668094230815775,2547.12575162109,2587.1922675352544
5,5,100,0.3,0.8577653333333334,38.059717499651015,2156.796543723904,2197.199701969512
6,6,87,0.3,0.8323966666666667,38.09831053111702,1992.9449779326096,2033.3817269969727
7,7,86,0.3,0.8257926666666666,38.389984246343374,1970.5707009853797,2011.2921368125824
8,8,87,0.3,0.8156439999999999,38.63680658955127,1907.2960547199475,1948.255891446024
9,9,85,0.3,0.8101946666666666,38.88354051858187,1886.2077785776928,1927.418398224749
