,Unnamed: 0,Max,Depth,Test,size,Accuracy,Total Time,Training Time
0,0,,1,,0.1,0.6583979999999999,206.97405547928062,162.82427828386426
1,1,,1,,0.2,0.6589149999999999,188.61815018486232,144.40339787490666
2,2,,1,,0.3,0.658766,168.65168877039102,124.29157738015057
3,3,,1,,0.4,0.6586305,148.02974649239331,103.61554416362196
4,4,,1,,0.5,0.6589328000000001,128.835299664177,84.17877964861691
5,5,,2,,0.1,0.669876,367.7672892650589,323.2121865944937
6,6,,2,,0.2,0.669875,326.7532347589731,282.39077654853463
7,7,,2,,0.3,0.6702353333333333,289.2349164327606,244.8871049191803
8,8,,2,,0.4,0.6697535,251.74959706142545,207.014662402682
9,9,,2,,0.5,0.6698808,209.8718892671168,165.0268220352009
10,10,,3,,0.1,0.701176,530.8343384629115,486.6152845807374
11,11,,3,,0.2,0.701338,468.4705677470192,424.06128041539336
12,12,,3,,0.3,0.7014526666666666,408.91546090226615,364.5506236180663
13,13,,3,,0.4,0.701044,350.53083661664283,306.078081686981
14,14,,3,,0.5,0.7013608,289.95272081065923,245.4276112848893
15,15,,4,,0.1,0.719106,680.4708561981097,636.1548299267888
16,16,,4,,0.2,0.718723,605.3434103261679,561.0508118290454
17,17,,4,,0.3,0.7183833333333334,527.2895857756957,481.9827041234821
18,18,,4,,0.4,0.718528,452.60884806793183,408.13350076507777
19,19,,4,,0.5,0.7187064000000001,368.48289214540273,323.3653960935772
20,20,,5,,0.1,0.7549600000000001,824.3252672739328,780.0491761825978
21,21,,5,,0.2,0.755538,732.8614692455158,688.6009643664585
22,22,,5,,0.3,0.7573093333333333,637.1418160656467,592.8149903370067
23,23,,5,,0.4,0.754865,532.5770912952721,488.07242017425597
