Depth, Accuracy, Total Time
3, 0.9562146892655368, 3.385287771001458
4, 0.9661016949152542, 3.260571478997008
5, 0.963276836158192, 3.381276321000769
6, 0.9505649717514124, 3.3738092740095453
7, 0.9703389830508474, 3.4589889769995352
9, 0.963276836158192, 3.412841468991246
9, 0.9774011299435028, 3.2745762889971957
99, 0.9661016949152542, 3.6675582990137627
1, 0.9152542372881356, 7.166992454993306
2, 0.9307909604519774, 3.7870384519919753
3, 0.9548022598870056, 3.759506959002465
4, 0.9519774011299436, 3.6009624949947465
5, 0.9689265536723164, 3.568279862010968
6, 0.9519774011299436, 3.4045116750057787
7, 0.9703389830508474, 3.6091219240042847
8, 0.961864406779661, 3.5777883429982467
9, 0.9717514124293786, 3.56475990099716
